MFCC_1_mean,MFCC_1_std,MFCC_2_mean,MFCC_2_std,MFCC_3_mean,MFCC_3_std,MFCC_4_mean,MFCC_4_std,MFCC_5_mean,MFCC_5_std,MFCC_6_mean,MFCC_6_std,MFCC_7_mean,MFCC_7_std,MFCC_8_mean,MFCC_8_std,MFCC_9_mean,MFCC_9_std,MFCC_10_mean,MFCC_10_std,MFCC_11_mean,MFCC_11_std,MFCC_12_mean,MFCC_12_std,MFCC_13_mean,MFCC_13_std,ZCR_mean,ZCR_std,RMS_mean,RMS_std,SpectralCentroid_mean,SpectralCentroid_std,SpectralBandwidth_mean,SpectralBandwidth_std,SpectralRolloff_mean,SpectralRolloff_std,Pitch_mean,Pitch_std,Pitch_min,Pitch_max,Duration,label,filename
-407.92526,173.25818,80.6756,76.90075,4.995247,31.428946,12.501891,22.818321,2.2200897,16.304237,-3.2071967,15.40868,-6.6374955,13.839622,-10.79233,17.061897,-8.325392,12.923284,-1.3545012,10.66378,-5.598878,10.170753,-7.828364,11.709092,-1.9007564,6.3687496,0.11779312015503876,0.06283720191682632,0.04296673,0.057353064,1963.4492564240386,1081.9389858635022,1823.6931991854963,728.9079790074607,4071.342054263566,2208.291278007627,103.96949143271765,15.326774520442326,65.40639132514966,145.14587018501834,4.1066875,0,DF_E_2000508.wav
-188.31828,116.33455,105.605286,85.262375,2.8142924,40.191135,23.732182,31.680887,12.829288,19.342175,-3.5695248,17.08545,-5.988117,16.422943,-0.0090681715,13.479718,0.19234012,13.591624,-14.213338,12.423787,-10.333117,11.454107,-12.142515,11.465122,-1.8318201,8.190389,0.13953799293154762,0.1555788494435889,0.1231517,0.05385702,1745.680518165883,1400.9425925326307,1468.8524020460998,556.4776452975872,3143.973214285714,2101.6673575204995,96.10068472893039,10.688107713506211,80.0609250563203,123.47082531403102,5.352,0,DF_E_2000676.wav
-209.89702,113.06777,111.33624,60.503757,-18.113165,37.404964,43.908886,34.082203,-20.844862,21.763323,-6.103217,16.307795,-10.3503,15.89481,-16.33738,15.335418,-8.711379,12.791169,-13.790142,11.425858,-10.83744,9.28739,-11.732465,8.610001,-8.221976,7.30538,0.1062797934322034,0.10434987607272489,0.12850305,0.08176074,1413.6392708196029,851.985715190506,1363.1843407675947,432.5368340346204,2730.137711864407,1372.015402779214,120.73730210676874,13.287379047535934,79.59980805922079,165.76853496220332,5.632,0,DF_E_2002152.wav
-233.49316,168.37343,65.52874,76.57441,22.039309,32.511753,22.43348,29.675287,8.48186,20.72463,6.3515334,18.1913,-1.2237792,18.727491,-1.4254544,12.598611,-5.859806,14.975931,7.504144,13.883511,-8.071065,10.394516,5.2971115,13.34231,-0.14198293,10.068359,0.15416029283216784,0.17666547662285526,0.13275708,0.10514992,2039.0920658967925,1524.7619367544412,1684.012582848895,485.8558585555474,3694.055944055944,2086.7253638901593,86.27991713322925,8.745998475760347,68.89654412432702,112.57112811964524,4.544,0,DF_E_2002307.wav
-191.43262,96.60819,72.35498,66.52879,-9.75563,33.873062,36.260963,34.319313,-16.102123,21.041052,-10.579724,18.920847,-27.261662,19.028553,-15.5595255,17.167173,-15.801503,15.50823,-2.6281548,17.05824,-15.1794615,12.054274,-1.960198,13.816225,-11.162248,11.674491,0.18563415232487923,0.15046232445246466,0.11424832,0.080658905,1998.0771666027613,1222.6848163689695,1493.9430002900738,374.0334182883205,3507.3596014492755,1721.57857186564,156.72682861631336,25.274550723469797,85.3129619008554,225.1422562392905,6.592,0,DF_E_2002753.wav
-369.19537,191.33475,71.45817,44.381508,-14.820365,44.51981,24.397701,22.28347,-4.437445,23.693733,-3.911051,13.648665,-9.262044,16.514902,-5.299616,10.897538,-7.3394885,13.231671,-14.706166,13.469605,-3.6471612,8.903227,-12.757163,13.476777,-3.546737,7.0443883,0.11227438038793103,0.09444103042983729,0.043653455,0.05354559,1802.4579334360078,739.7936708508596,1753.8580467288286,545.2838699899535,3802.1012931034484,1579.8996335884021,167.21478584229757,57.17544661177469,78.23233100085048,282.02769802256034,4.616,0,DF_E_2003021.wav
-359.78998,176.00275,67.939835,61.4308,-2.7609706,34.693745,29.959206,31.51598,2.0829754,16.446909,-0.03683838,15.804024,-14.730204,14.173268,-9.060902,13.888593,-4.359201,12.60868,1.3714013,10.892348,-9.748548,10.839402,-4.9930987,7.6881666,-4.087725,8.119326,0.14065538194444444,0.12090477039229629,0.058639698,0.081060216,1761.3960376015823,1081.1794583259807,1503.9242293991672,453.4651526820249,3269.7569444444443,1634.9259533023614,101.44617642928225,13.776864547919537,79.1413469005951,146.8323839587038,7.168,0,DF_E_2003082.wav
-373.93182,175.3374,74.04806,65.36935,5.6449213,27.522148,25.449001,29.083035,6.139387,12.584284,6.9724874,15.876261,0.045615748,14.216797,-14.293285,21.865685,-6.9849405,15.151033,-0.35066566,10.579351,-8.391472,15.316468,2.9430802,6.680671,-4.1509547,8.43828,0.06998483758223684,0.07695137236596171,0.059162185,0.074046396,1180.1654408569066,762.2345338225823,1473.1809642955322,448.2897039867979,2183.4909539473683,1602.1706330083118,103.79132939695297,13.107685050761384,78.23233100085048,129.31026969119696,4.8633125,0,DF_E_2004156.wav
-317.02307,159.23912,51.879204,49.711544,-2.107462,32.681194,7.9761643,27.256025,-0.84039474,20.34447,0.28348973,15.038417,-7.036559,17.461689,-7.4946914,13.379175,-4.918101,13.235575,-4.2359986,10.098202,-3.609026,9.993336,-1.4165772,8.896983,-0.31805265,7.5817213,0.20289032218992248,0.19990826895399263,0.06644495,0.083246656,2180.323795444499,1314.1051312677162,1895.644517745916,487.68953622104254,4280.523255813953,1918.5018478282745,171.11062737905698,73.53865125617331,89.3477635991859,335.38934511626763,4.096,0,DF_E_2004205.wav
-324.78043,186.5374,69.466675,52.645187,1.0093399,39.185497,25.797592,23.675217,3.1190796,17.310743,0.09299984,14.842361,-4.0313168,12.523948,-18.50802,22.783495,-7.186088,12.130895,-14.093374,16.942307,-11.233333,11.405485,-3.9105458,8.02656,-15.753681,13.791015,0.11084330673758866,0.08788513207703892,0.0799561,0.0882647,1858.9900403615916,794.263907410377,1908.023634525187,530.2270709154303,4181.128102836879,1567.4018861379443,112.09362442871704,21.18362473893091,65.40639132514966,154.66751207845843,4.4804375,0,DF_E_2004207.wav
